# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterprise|Transit/Access
1273|peerDB_class|Transit/Access
1277|CAIDA_class|Transit/Access
1280|CAIDA_class|Transit/Access
1286|CAIDA_class|Enterprise
1287|CAIDA_class|Enterprise
1289|CAIDA_class|Transit/Access
1290|peerDB_class|Transit/Access
1293|CAIDA_class|Enterprise
1294|CAIDA_class|Content
1295|CAIDA_class|Enterprise
1297|CAIDA_class|Enterprise
1299|peerDB_class|Transit/Access
1301|CAIDA_class|Enterprise
1303|CAIDA_class|Transit/Access
1307|CAIDA_class|Transit/Access
1311|CAIDA_class|Enterprise
1312|CAIDA_class|Transit/Access
1313|CAIDA_class|Enterprise
1315|CAIDA_class|Enterprise
1316|manual_class|Enterprise
1324|CAIDA_class|Enterprise
1325|CAIDA_class|Enterprise
1326|CAIDA_class|Transit/Access
1328|CAIDA_class|Transit/Access
1331|CAIDA_class|Transit/Access
1333|CAIDA_class|Enterprise
1341|CAIDA_class|Enterprise
1342|CAIDA_class|Content
1343|CAIDA_class|Transit/Access
1347|CAIDA_class|Transit/Access
1348|CAIDA_class|Enterprise
1350|CAIDA_class|Enterprise
1351|CAIDA_class|Transit/Access
1355|CAIDA_class|Enterprise
1358|CAIDA_class|Enterprise
1378|CAIDA_class|Transit/Access
1379|CAIDA_class|Transit/Access
1380|CAIDA_class|Enterprise
1395|CAIDA_class|Transit/Access
1396|CAIDA_class|Enterprise
1397|CAIDA_class|Enterprise
1398|CAIDA_class|Enterprise
1399|CAIDA_class|Enterprise
1400|CAIDA_class|Enterprise
1401|CAIDA_class|Enterprise
1402|CAIDA_class|Enterprise
1403|peerDB_class|Transit/Access
1404|CAIDA_class|Enterprise
1405|CAIDA_class|Enterprise
1406|peerDB_class|Content
1407|CAIDA_class|Enterprise
1408|peerDB_class|Content
1409|CAIDA_class|Transit/Access
1410|CAIDA_class|Transit/Access
1411|CAIDA_class|Transit/Access
1412|CAIDA_class|Transit/Access
1414|CAIDA_class|Enterprise
1415|CAIDA_class|Enterprise
1416|CAIDA_class|Enterprise
1418|CAIDA_class|Enterprise
1419|CAIDA_class|Enterprise
1420|CAIDA_class|Enterprise
1421|CAIDA_class|Transit/Access
1422|peerDB_class|Enterprise
1423|CAIDA_class|Transit/Access
1426|CAIDA_class|Transit/Access
1427|CAIDA_class|Transit/Access
1428|CAIDA_class|Enterprise
1429|CAIDA_class|Enterprise
1430|CAIDA_class|Enterprise
1432|CAIDA_class|Transit/Access
